publication	condition	elicitation_method	material	prosodic_position	stimuli	pair	voicing	acoustic_cue	dur	sd	note	N
Port_Crawford_1989	3	dictate contrastive	embedded	mixed	Rat	2	voiceless	clusure duration in ms	83.46	22.18	pooled across speakers	5
Port_Crawford_1989	4	read list	isolated words	phrase-final	Rat	2	voiceless	clusure duration in ms	89.93	22.82	pooled across speakers	5
Port_Crawford_1989	1A	read list	embedded	word-final	Rat	2	voiceless	preceding vowel duration in ms	145.67	22.27	pooled across speakers	5
Port_Crawford_1989	1B	repeat	embedded	word-final	Rat	2	voiceless	preceding vowel duration in ms	140.94	17.09	pooled across speakers	5
Port_Crawford_1989	2	read contrastive	embedded	phrase-final	Rat	2	voiceless	preceding vowel duration in ms	174.8	41.67	pooled across speakers	5
Port_Crawford_1989	3	dictate contrastive	embedded	mixed	Rat	2	voiceless	preceding vowel duration in ms	203.57	30.32	pooled across speakers	5
Port_Crawford_1989	4	read list	isolated words	phrase-final	Rat	2	voiceless	preceding vowel duration in ms	243.06	20.83	pooled across speakers	5
Port_Crawford_1989	1A	read list	embedded	word-final	seid 	3	voiced	burst duration in ms	0	0	pooled across speakers	5
Port_Crawford_1989	1B	repeat	embedded	word-final	seid 	3	voiced	burst duration in ms	0	0	pooled across speakers	5
Port_Crawford_1989	2	read contrastive	embedded	phrase-final	seid 	3	voiced	burst duration in ms	44.69	41.4	pooled across speakers	5
Port_Crawford_1989	3	dictate contrastive	embedded	mixed	seid 	3	voiced	burst duration in ms	33.46	28.92	pooled across speakers	5
Port_Crawford_1989	4	read list	isolated words	phrase-final	seid 	3	voiced	burst duration in ms	36.61	28.71	pooled across speakers	5
Port_Crawford_1989	1A	read list	embedded	word-final	seid 	3	voiced	closure voicing in pulses	2.5	1.18	pooled across speakers	5
Port_Crawford_1989	1B	repeat	embedded	word-final	seid 	3	voiced	closure voicing in pulses	1.8	1.14	pooled across speakers	5
Port_Crawford_1989	2	read contrastive	embedded	phrase-final	seid 	3	voiced	closure voicing in pulses	1.8	0.77	pooled across speakers	5
Port_Crawford_1989	3	dictate contrastive	embedded	mixed	seid 	3	voiced	closure voicing in pulses	1.65	1.04	pooled across speakers	5
Port_Crawford_1989	4	read list	isolated words	phrase-final	seid 	3	voiced	closure voicing in pulses	1.7	0.66	pooled across speakers	5
Port_Crawford_1989	1A	read list	embedded	word-final	seid 	3	voiced	clusure duration in ms	69.29	14.4	pooled across speakers	5
Port_Crawford_1989	1B	repeat	embedded	word-final	seid 	3	voiced	clusure duration in ms	59.06	6.69	pooled across speakers	5
Port_Crawford_1989	2	read contrastive	embedded	phrase-final	seid 	3	voiced	clusure duration in ms	70.28	32.04	pooled across speakers	5
Port_Crawford_1989	3	dictate contrastive	embedded	mixed	seid 	3	voiced	clusure duration in ms	87.4	22.48	pooled across speakers	5
Port_Crawford_1989	4	read list	isolated words	phrase-final	seid 	3	voiced	clusure duration in ms	92.32	20.58	pooled across speakers	5
Port_Crawford_1989	1A	read list	embedded	word-final	seid 	3	voiced	preceding vowel duration in ms	97.64	12.42	pooled across speakers	5
Port_Crawford_1989	1B	repeat	embedded	word-final	seid 	3	voiced	preceding vowel duration in ms	76.77	10.54	pooled across speakers	5
Port_Crawford_1989	2	read contrastive	embedded	phrase-final	seid 	3	voiced	preceding vowel duration in ms	186.22	31.73	pooled across speakers	5
Port_Crawford_1989	3	dictate contrastive	embedded	mixed	seid 	3	voiced	preceding vowel duration in ms	221.85	28.14	pooled across speakers	5
Port_Crawford_1989	4	read list	isolated words	phrase-final	seid 	3	voiced	preceding vowel duration in ms	237.4	29.46	pooled across speakers	5
Port_Crawford_1989	1A	read list	embedded	word-final	seit	3	voiceless	burst duration in ms	0	0	pooled across speakers	5
Port_Crawford_1989	1B	repeat	embedded	word-final	seit	3	voiceless	burst duration in ms	0.39	1.25	pooled across speakers	5
Port_Crawford_1989	2	read contrastive	embedded	phrase-final	seit	3	voiceless	burst duration in ms	64.29	31.01	pooled across speakers	5
Port_Crawford_1989	3	dictate contrastive	embedded	mixed	seit	3	voiceless	burst duration in ms	81.89	32.33	pooled across speakers	5
Port_Crawford_1989	4	read list	isolated words	phrase-final	seit	3	voiceless	burst duration in ms	72.83	37.19	pooled across speakers	5
Port_Crawford_1989	1A	read list	embedded	word-final	seit	3	voiceless	closure voicing in pulses	1.2	0.42	pooled across speakers	5
Port_Crawford_1989	1B	repeat	embedded	word-final	seit	3	voiceless	closure voicing in pulses	1.4	0.7	pooled across speakers	5
Port_Crawford_1989	2	read contrastive	embedded	phrase-final	seit	3	voiceless	closure voicing in pulses	2.05	0.76	pooled across speakers	5
Port_Crawford_1989	3	dictate contrastive	embedded	mixed	seit	3	voiceless	closure voicing in pulses	1.6	0.88	pooled across speakers	5
Port_Crawford_1989	4	read list	isolated words	phrase-final	seit	3	voiceless	closure voicing in pulses	1.9	0.97	pooled across speakers	5
Port_Crawford_1989	1A	read list	embedded	word-final	seit	3	voiceless	clusure duration in ms	59.84	11.26	pooled across speakers	5
Port_Crawford_1989	1B	repeat	embedded	word-final	seit	3	voiceless	clusure duration in ms	60.24	13.39	pooled across speakers	5
Port_Crawford_1989	2	read contrastive	embedded	phrase-final	seit	3	voiceless	clusure duration in ms	68.11	15.33	pooled across speakers	5
Port_Crawford_1989	3	dictate contrastive	embedded	mixed	seit	3	voiceless	clusure duration in ms	87.01	13.45	pooled across speakers	5
Port_Crawford_1989	4	read list	isolated words	phrase-final	seit	3	voiceless	clusure duration in ms	85.24	22.24	pooled across speakers	5
Port_Crawford_1989	1A	read list	embedded	word-final	seit	3	voiceless	preceding vowel duration in ms	81.89	24.89	pooled across speakers	5
Port_Crawford_1989	1B	repeat	embedded	word-final	seit	3	voiceless	preceding vowel duration in ms	69.29	11.47	pooled across speakers	5
Port_Crawford_1989	2	read contrastive	embedded	phrase-final	seit	3	voiceless	preceding vowel duration in ms	180.51	21.19	pooled across speakers	5
Port_Crawford_1989	3	dictate contrastive	embedded	mixed	seit	3	voiceless	preceding vowel duration in ms	203.74	20.35	pooled across speakers	5
Port_Crawford_1989	4	read list	isolated words	phrase-final	seit	3	voiceless	preceding vowel duration in ms	227.56	26.72	pooled across speakers	5
